display_name,lineage,subtype,cluster
KYSE30,esophagus,squamous cell carcinoma,35
RT112,urinary_tract,transitional cell carcinoma,35
KYSE410,esophagus,squamous cell carcinoma,35
KMBC2,urinary_tract,adrenocortical carcinoma,35
PK1,pancreas,"ductal adenocarcinoma, exocrine",35
RL952,uterus,endometrial adenosquamous carcinoma,35
HT1376,urinary_tract,adrenocortical carcinoma,35
SW780,urinary_tract,transitional cell carcinoma,35
CAL29,urinary_tract,transitional cell carcinoma,35
RMUGS,ovary,"cystadenocarcinoma, mucinous",35
NCCSTCK140,gastric,adenocarcinoma,35
RT4,urinary_tract,transitional cell carcinoma,35
NUGC2,gastric,adenocarcinoma,35
UMUC1,urinary_tract,transitional cell carcinoma,35
RT11284,urinary_tract,adrenocortical carcinoma,35
UMUC14,urinary_tract,transitional cell carcinoma,35
UMUC16,urinary_tract,transitional cell carcinoma,35
UMUC5,urinary_tract,squamous cell carcinoma,35
HSC5,skin,squamous cell carcinoma,35
PK8,pancreas,exocrine,35
HUO9,bone,osteosarcoma,36
NOS1,bone,osteosarcoma,36
HSOS1,bone,osteosarcoma,36
SKNAS,peripheral_nervous_system,NA,29
HS944T,skin,NA,38
IPC298,skin,melanocytic,8
A375,skin,neural crest-like,38
A2058,skin,transitory,38
WM983B,skin,transitory,38
HS294T,skin,neural crest-like,38
SKMEL2,skin,melanocytic,38
COLO679,skin,NA,38
HT144,skin,transitory,38
MELJUSO,skin,transitory,38
COLO800,skin,transitory,38
HS939T,skin,NA,38
WM793,skin,neural crest-like,38
MDAMB435S,skin,"melanoma, amelanotic",38
SNU466,central_nervous_system,glioblastoma,38
UACC62,skin,transitory,38
A101D,skin,NA,38
WM88,skin,transitory,38
WM1799,skin,transitory,38
WM2664,skin,transitory,38
HS852T,skin,NA,38
WM115,skin,NA,38
C32,skin,transitory,38
SKMEL31,skin,transitory,38
COLO829,skin,transitory,38
HS695T,skin,"melanoma, amelanotic",38
COLO794,skin,NA,38
MM383,skin,NA,38
SEKI,skin,NA,38
A375SKINCJ1,skin,NA,38
A375SKINCJ3,skin,NA,38
HSSCH2,central_nervous_system,malignant peripheral nerve sheath tumor,38
HT144SKINFV1,skin,NA,38
HT144SKINFV2,skin,NA,38
WM4235,skin,NA,38
M140325,skin,NA,38
KE37,blood,"acute lymphoblastic leukemia, t-cell",39
LOUCY,blood,"acute lymphoblastic leukemia, t-cell",39
ALLSIL,blood,"acute lymphoblastic leukemia, t-cell",39
SUPT11,blood,"acute lymphoblastic leukemia, t-cell",39
TALL1,blood,"acute lymphoblastic leukemia, t-cell",39
P12ICHIKAWA,blood,"acute lymphoblastic leukemia, t-cell",39
HUT78,lymphocyte,"t-cell, non-hodgkins, cutaneous",39
PEER,blood,"acute lymphoblastic leukemia, t-cell",39
RPMI8402,blood,"acute lymphoblastic leukemia, t-cell",39
MOLT16,blood,"acute lymphoblastic leukemia, t-cell",39
CMLT1,blood,"chronic myelogenous leukemia, blast crisis",39
PF382,blood,"acute lymphoblastic leukemia, t-cell",39
HPBALL,blood,"acute lymphoblastic leukemia, t-cell",39
SUPT1,blood,"acute lymphoblastic leukemia, t-cell",39
MOLT3,blood,"acute lymphoblastic leukemia, t-cell",39
DND41,blood,"acute lymphoblastic leukemia, t-cell",39
JURKAT,blood,"acute lymphoblastic leukemia, t-cell",39
CTV1DM,blood,"acute lymphoblastic leukemia, t-cell",39
DMS273,lung,small cell lung cancer,40
NCIH446,lung,small cell lung cancer,40
D283MED,central_nervous_system,medulloblastoma,40
NCIH82,lung,small cell lung cancer,40
NCIH1694,lung,small cell lung cancer,40
NCIH1184,lung,small cell lung cancer,40
NCIH2171,lung,small cell lung cancer,40
NCIH2227,lung,small cell lung cancer,40
SCLC21H,lung,small cell lung cancer,40
NCIH524,lung,small cell lung cancer,40
COLO684,uterus,endometrial adenocarcinoma,40
NCIH1155,lung,"non-small cell lung cancer, large cell carcinoma",40
Y79,eye,retinoblastoma,40
WERIRB1,eye,retinoblastoma,40
LU135,lung,small cell lung cancer,40
TGW,peripheral_nervous_system,NA,40
GOTO,peripheral_nervous_system,neuroblastoma,40
NCIH1341,lung,small cell lung cancer,41
LS,peripheral_nervous_system,NA,41
HAP1,blood,chronic myelogenous leukemia,41
NCIH1568,lung,"non-small cell lung cancer, adenocarcinoma",42
SNUC2A,colorectal,adenocarcinoma,42
SKBR3,breast,HER2 amp,42
AU565,breast,HER2 amp,42
ABC1,lung,"non-small cell lung cancer, adenocarcinoma",42
BT20,breast,basal A,42
UACC893,breast,HER2 amp,42
HCC202,breast,HER2 amp,42
HCC1954,breast,basal A,42
CHAGOK1,lung,"non-small cell lung cancer, unspecified",42
MDAMB361,breast,HER2 amp,42
NCIH2342,lung,"non-small cell lung cancer, adenocarcinoma",42
VP229,breast,ductal carcinoma,42
HEL,blood,acute myeloid leukemia,43
HEL9217,blood,acute myeloid leukemia,43
MEG01,blood,chronic myelogenous leukemia,43
KU812,blood,"chronic myelogenous leukemia, blast crisis",43
NCO2,blood,chronic myelogenous leukemia,43
SET2,blood,acute myeloid leukemia,43
JK1,blood,"chronic myelogenous leukemia, blast crisis",43
LAMA84,blood,"chronic myelogenous leukemia, blast crisis",43
JURLMK1,blood,"chronic myelogenous leukemia, blast crisis",43
MOLM16,blood,acute myeloid leukemia,43
TF1,blood,acute myeloid leukemia,43
F36P,blood,acute myeloid leukemia,43
K562,blood,"chronic myelogenous leukemia, blast crisis",43
M07E,blood,acute myeloid leukemia,43
KYO1,blood,"chronic myelogenous leukemia, blast crisis",43
CMK,blood,acute myeloid leukemia,43
OCIM1,blood,acute myeloid leukemia,43
CMK115,blood,acute myeloid leukemia,43
OCIM2,blood,acute myeloid leukemia,43
MONOMAC6,blood,acute myeloid leukemia,45
MV411,blood,acute myeloid leukemia,45
OCIAML5,blood,acute myeloid leukemia,45
SIGM5,blood,acute myeloid leukemia,45
OCIAML2,blood,acute myeloid leukemia,45
THP1,blood,acute myeloid leukemia,45
NOMO1,blood,acute myeloid leukemia,45
EOL1,blood,acute myeloid leukemia,45
PL21,blood,acute myeloid leukemia,45
NB4,blood,acute myeloid leukemia,45
EM2,blood,"chronic myelogenous leukemia, blast crisis",45
OCIAML3,blood,acute myeloid leukemia,45
MOLM13,blood,acute myeloid leukemia,45
SKM1,blood,acute myeloid leukemia,45
U937,blood,acute myeloid leukemia,45
AML193,blood,acute myeloid leukemia,45
P31FUJ,blood,acute myeloid leukemia,45
MONOMAC1,blood,acute myeloid leukemia,45
MOLM14,blood,acute myeloid leukemia,45
BEN,lung,"non-small cell lung cancer, unspecified",46
QGP1,pancreas,somatostatinoma,46
NCIH727,lung,carcinoid,46
NCIH660,prostate,small cell carcinoma,46
NCIH1618,lung,small cell lung cancer,46
CORL311,lung,small cell lung cancer,46
ECC12,gastric,small cell carcinoma,46
CORL279,lung,small cell lung cancer,46
NCIH209,lung,small cell lung cancer,46
NCIH889,lung,small cell lung cancer,46
NCIH2029,lung,small cell lung cancer,46
NCIH69,lung,small cell lung cancer,46
CORL24,lung,small cell lung cancer,46
NCIH2081,lung,small cell lung cancer,46
NCIH2196,lung,small cell lung cancer,46
NCIH716,colorectal,adenocarcinoma,46
NCIH146,lung,small cell lung cancer,46
CORL88,lung,small cell lung cancer,46
NCIH1092,lung,small cell lung cancer,46
HCC33,lung,small cell lung cancer,46
NCIH1836,lung,small cell lung cancer,46
ECC10,gastric,small cell carcinoma,46
NCIH1876,lung,small cell lung cancer,46
DMS153,lung,small cell lung cancer,46
CORL47,lung,small cell lung cancer,46
DMS53,lung,small cell lung cancer,46
DMS79,lung,small cell lung cancer,46
NCIH854,lung,"non-small cell lung cancer, adenocarcinoma",46
HCC1833,lung,"non-small cell lung cancer, adenocarcinoma",46
NCIH1963,lung,small cell lung cancer,46
NCIH1385,lung,"non-small cell lung cancer, squamous cell carcinoma",46
CORL95,lung,small cell lung cancer,46
NCIH526,lung,small cell lung cancer,46
NCIH1105,lung,small cell lung cancer,46
NCIH810,lung,"non-small cell lung cancer, large cell carcinoma",46
SHP77,lung,small cell lung cancer,46
COLO668,lung,small cell lung cancer,46
NCIH1436,lung,small cell lung cancer,46
DMS454,lung,small cell lung cancer,46
NCIH1930,lung,small cell lung cancer,46
NCIH510,lung,small cell lung cancer,46
NCIH2106,lung,"non-small cell lung cancer, large cell carcinoma",46
TT,thyroid,squamous cell carcinoma,46
TT,thyroid,squamous cell carcinoma,46
SCLC22H,lung,small cell lung cancer,46
HCSC1,cervix,carcinoma,46
ECC4,colorectal,adenocarcinoma,46
PA1,ovary,NA,48
1618K,embryo,embryo carcinoma,48
NCCIT,embryo,embryo carcinoma,48
SUSA,embryo,testicular,48
TERA2,embryo,embryo carcinoma,48
SKMEL24,skin,neural crest-like,38
HT1080,soft_tissue,fibrosarcoma,2
SKUT1,soft_tissue,leiomyosarcoma,49
MFE296,uterus,endometrial adenocarcinoma,49
S117,soft_tissue,thyroid sarcoma,2
SBC5,lung,small cell lung cancer,49
TM87,soft_tissue,malignant rhabdoid tumor,49
TM87,soft_tissue,malignant rhabdoid tumor,49
TM87,soft_tissue,malignant rhabdoid tumor,49
TM87,soft_tissue,malignant rhabdoid tumor,49
RKN,soft_tissue,leiomyosarcoma,2
NCIH1299,lung,"non-small cell lung cancer, large cell carcinoma",49
RD,soft_tissue,embryonal rhabdomyosarcoma,31
JHUEM2,uterus,endometrial adenocarcinoma,49
RD,soft_tissue,embryonal rhabdomyosarcoma,31
ACH-000010,lung,"non-small cell lung cancer, adenocarcinoma",49
OVK18,ovary,"adenocarcinoma, endometrioid",49
AN3CA,uterus,endometrial adenocarcinoma,49
TOV112D,ovary,"adenocarcinoma, endometrioid",49
RD,soft_tissue,embryonal rhabdomyosarcoma,31
NCIH23,lung,"non-small cell lung cancer, adenocarcinoma",49
SNU398,liver,hepatocellular carcinoma,49
G402,soft_tissue,renal leiomyoblastoma,49
G402,soft_tissue,renal leiomyoblastoma,49
G402,soft_tissue,renal leiomyoblastoma,49
G402,soft_tissue,renal leiomyoblastoma,49
MESSA,soft_tissue,uterine sarcoma,49
MIAPACA2,pancreas,"ductal adenocarcinoma, exocrine",49
NCIH1581,lung,"non-small cell lung cancer, large cell carcinoma",49
NCIH661,lung,"non-small cell lung cancer, large cell carcinoma",49
NCIH1703,lung,"non-small cell lung cancer, squamous cell carcinoma",49
G402,soft_tissue,renal leiomyoblastoma,49
G402,soft_tissue,renal leiomyoblastoma,49
G402,soft_tissue,renal leiomyoblastoma,49
G402,soft_tissue,renal leiomyoblastoma,49
HEC6,uterus,endometrial adenocarcinoma,49
NCIH522,lung,"non-small cell lung cancer, adenocarcinoma",49
TM87,soft_tissue,malignant rhabdoid tumor,49
TM87,soft_tissue,malignant rhabdoid tumor,49
TM87,soft_tissue,malignant rhabdoid tumor,49
TM87,soft_tissue,malignant rhabdoid tumor,49
TE617T,soft_tissue,rhabdomyosarcoma,49
COV434,ovary,"adenocarcinoma, endometrioid",49
BT12,soft_tissue,atypical teratoid/rhabdoid tumor,49
A204,soft_tissue,malignant rhabdoid tumor,49
COLO320,colorectal,adenocarcinoma,49
DMS114,lung,small cell lung cancer,49
NCIH2004RT,soft_tissue,malignant rhabdoid tumor,49
HUTU80,gastric,duodenal adenocarcinoma,49
TTC709,soft_tissue,malignant rhabdoid tumor,49
KYM1,soft_tissue,malignant rhabdoid tumor,49
A427,lung,"non-small cell lung cancer, adenocarcinoma",49
SNU1,gastric,adenocarcinoma,49
EN,uterus,endometrial adenocarcinoma,49
BT16,soft_tissue,atypical teratoid/rhabdoid tumor,49
CHLA06ATRT,soft_tissue,atypical teratoid/rhabdoid tumor,49
CHLA266,soft_tissue,atypical teratoid/rhabdoid tumor,49
CHLA57,bone,ewing sarcoma,49
DL,soft_tissue,malignant rhabdoid tumor,49
F5,central_nervous_system,meningioma,49
KD,soft_tissue,malignant rhabdoid tumor,49
KPMRTRY,soft_tissue,malignant rhabdoid tumor,49
RD,soft_tissue,embryonal rhabdomyosarcoma,31
RD,soft_tissue,embryonal rhabdomyosarcoma,31
STM9101,soft_tissue,malignant rhabdoid tumor,49
TTC1240,soft_tissue,malignant rhabdoid tumor,49
TTC549,soft_tissue,malignant rhabdoid tumor,49
TTC642,soft_tissue,malignant rhabdoid tumor,49
BIN67,ovary,small cell carcinoma of the ovary hypercalcemic type,49
SCCOHT1,ovary,small cell carcinoma of the ovary hypercalcemic type,49
COGAR359,soft_tissue,atypical teratoid/rhabdoid tumor,49
ACH-001316,kidney,renal medullary carcinoma,49
C33A,cervix,adrenocortical carcinoma,49
OACM51,esophagus,adenocarcinoma,49
SW13,adrenal,adrenocortical carcinoma,49
CCLFPEDS0008T,soft_tissue,epithelioid,49
FLO1,esophagus,adenocarcinoma,49
HEMCSS,bone,chondrosarcoma,49
JMURTK2,kidney,malignant rhabdoid tumor,49
KKU055,bile_duct,cholangiocarcinoma,49
TY82,thymus,thymic carcinoma,49
CCLP1,bile_duct,"cholangiocarcinoma, intrahepatic",49
921,eye,uveal melanoma,50
MEL202,eye,uveal melanoma,50
MP41,eye,uveal melanoma,50
MP46,eye,uveal melanoma,50
MEL270,eye,uveal melanoma,50
OMM1,eye,uveal melanoma,50
OMM25,eye,uveal melanoma,50
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
MHHES1,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
SKES1,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
CADOES1,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
A673,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
EWS502,bone,ewing sarcoma,51
SKNMC,bone,ewing sarcoma,51
RDES,bone,ewing sarcoma,51
TC71,bone,ewing sarcoma,51
EW8,bone,ewing sarcoma,51
CBAGPN,bone,ewing sarcoma,51
CHLA10,bone,ewing sarcoma,51
CHLA218,bone,ewing sarcoma,51
CHLA32,bone,ewing sarcoma,51
CHLA9,bone,ewing sarcoma,51
CHLA99,bone,ewing sarcoma,51
COGE352,bone,ewing sarcoma,51
SKNEP1,bone,ewing sarcoma,51
SKNEP1,bone,ewing sarcoma,51
SKPNDW,bone,ewing sarcoma,51
TC106,bone,ewing sarcoma,51
CCLFPEDS0009T,bone,ewing sarcoma,51
TC138,bone,ewing sarcoma,51
TC205,bone,ewing sarcoma,51
TASK1,peripheral_nervous_system,primitive neuroectodermal tumor,51
NCIH1563,lung,"non-small cell lung cancer, adenocarcinoma",53
NCIH226,lung,"non-small cell lung cancer, squamous cell carcinoma",53
NCIH2452,lung,mesothelioma,53
ISTMES2,lung,mesothelioma,53
SNU182,liver,hepatocellular carcinoma,53
SIHA,cervix,adrenocortical carcinoma,53
ISTMES1,lung,mesothelioma,53
JL1,lung,mesothelioma,53
LO68,lung,mesothelioma,53
MERO14,lung,mesothelioma,53
MERO25,lung,mesothelioma,53
MERO41,lung,mesothelioma,53
MERO48A,lung,mesothelioma,53
MERO83,lung,mesothelioma,53
MERO84,lung,mesothelioma,53
MERO95,lung,mesothelioma,53
HGC27,gastric,adenocarcinoma,54
SYO1,soft_tissue,synovial sarcoma,54
YAMATO,soft_tissue,synovial sarcoma,54
SCS214,soft_tissue,synovial sarcoma,54
CME1,soft_tissue,synovial sarcoma,54
SNU840,ovary,"carcinoma, brenner",55
647V,urinary_tract,adrenocortical carcinoma,55
PC14,lung,"non-small cell lung cancer, adenocarcinoma",55
NUGC3,gastric,adenocarcinoma,55
SW480,colorectal,adenocarcinoma,55
RD,soft_tissue,embryonal rhabdomyosarcoma,31
MKN7,gastric,"adenocarcinoma, tubular",55
5637,urinary_tract,NA,55
CAL12T,lung,"non-small cell lung cancer, unspecified",55
NCIH1650,lung,"non-small cell lung cancer, adenocarcinoma",55
HDQP1,breast,basal A,55
MKN74,gastric,adenocarcinoma,55
NCIH322,lung,"non-small cell lung cancer, adenocarcinoma",55
PC3,prostate,adenocarcinoma,55
RD,soft_tissue,embryonal rhabdomyosarcoma,31
TE1,esophagus,squamous cell carcinoma,55
NCIH2444,lung,"non-small cell lung cancer, unspecified",55
RERFLCAD2,lung,"non-small cell lung cancer, adenocarcinoma",55
KP2,pancreas,"ductal adenocarcinoma, exocrine",55
UBLC1,urinary_tract,transitional cell carcinoma,55
HUPT4,pancreas,"ductal adenocarcinoma, exocrine",55
JHESOAD1,esophagus,adenocarcinoma,55
NCIH2085,lung,"non-small cell lung cancer, adenocarcinoma",55
SNU216,gastric,"adenocarcinoma, tubular",55
LS123,colorectal,adenocarcinoma,55
HT1197,urinary_tract,adrenocortical carcinoma,55
COV644,ovary,"adenocarcinoma, mucinous",55
NCIH596,lung,"non-small cell lung cancer, adenosquamous carcinoma",55
PC9,lung,"non-small cell lung cancer, adenocarcinoma",55
CAL851,breast,basal A,55
SF172,central_nervous_system,glioblastoma,55
C4II,cervix,adrenocortical carcinoma,55
MS751,cervix,squamous cell carcinoma,55
PACADD119,pancreas,"ductal adenocarcinoma, exocrine",55
UMUC10,urinary_tract,transitional cell carcinoma,55
SKGI,uterus,endometrial squamous cell carcinoma,55
SKGII,uterus,endometrial squamous,55
SKGT2,gastric,adenocarcinoma,55
SKGT4,esophagus,adenocarcinoma,55
ICC2,bile_duct,"cholangiocarcinoma, intrahepatic",55
ICC9,bile_duct,"cholangiocarcinoma, intrahepatic",55
TGBC1TKB,bile_duct,adenocarcinoma,55
UMUC7,urinary_tract,transitional cell carcinoma,56
UMUC9,urinary_tract,transitional cell carcinoma,56
YSCCC,bile_duct,"cholangiocarcinoma, intrahepatic",56
SNU761,liver,hepatocellular carcinoma,57
LI7,liver,NA,57
SNU878,liver,hepatocellular carcinoma,57
PACADD137,pancreas,"ductal adenocarcinoma, exocrine",57
PACADD165,pancreas,"ductal adenocarcinoma, exocrine",57
ICC106,bile_duct,"cholangiocarcinoma, intrahepatic",57
ICC137,bile_duct,cholangiocarcinoma,57
ICC5,bile_duct,"cholangiocarcinoma, intrahepatic",57
ICC6,bile_duct,cholangiocarcinoma,57
ICC7,bile_duct,cholangiocarcinoma,57
RBE,bile_duct,"cholangiocarcinoma, intrahepatic",57
SG231,bile_duct,"cholangiocarcinoma, intrahepatic",57
GB2,bile_duct,gallbladder adenocarcinoma,57
D341,central_nervous_system,medulloblastoma,59
D425,central_nervous_system,medulloblastoma,59
D458,central_nervous_system,medulloblastoma,59
SUMB002,central_nervous_system,medulloblastoma,59
HDMB03,central_nervous_system,medulloblastoma,59
MDAMB415,breast,HER2 amp,60
REH,blood,"acute lymphoblastic leukemia, b-cell",62
UACC812,breast,luminal,63
SUM185PE,breast,luminal,63
SUM44PE,breast,carcinoma,63
SUM52PE,breast,luminal,63
OUMS23,colorectal,adenocarcinoma,64
CACO2,colorectal,adenocarcinoma,64
C2BBE1,colorectal,adenocarcinoma,64
RERFGC1B,gastric,adenocarcinoma,64
OV90,ovary,"adenocarcinoma, high grade serous",64
HUH6,liver,hepatoblastoma,64
JAR,uterus,choriocarcinoma,64
JEG3,uterus,choriocarcinoma,64
T3M3,uterus,choriocarcinoma,64
RD,soft_tissue,embryonal rhabdomyosarcoma,31
MON,soft_tissue,malignant rhabdoid tumor,49
MON,soft_tissue,malignant rhabdoid tumor,49
CAL62,thyroid,"carcinoma, anaplastic",2
HCC2429,lung,"non-small cell lung cancer, unspecified",65
DU4475,breast,luminal HER2 amp,65
NCIH211,lung,small cell lung cancer,65
GSS,gastric,adenocarcinoma,65
NZOV9,ovary,adenocarcinoma,65
HSQ89,upper_aerodigestive,squamous cell carcinoma,65
8505C,thyroid,adrenocortical carcinoma,2
BHT101,thyroid,"carcinoma, papillary",66
HCC44,lung,"non-small cell lung cancer, adenocarcinoma",66
YD8,upper_aerodigestive,"squamous cell carcinoma, tongue",2
KP3,pancreas,"ductal adenosquamous carcinoma, exocrine",66
NCIH2172,lung,"non-small cell lung cancer, unspecified",66
YD38,upper_aerodigestive,squamous cell carcinoma,4
HCC15,lung,"non-small cell lung cancer, squamous cell carcinoma",66
RERFLCMS,lung,"non-small cell lung cancer, adenocarcinoma",66
NCIH1793,lung,"non-small cell lung cancer, adenocarcinoma",66
HSC3,upper_aerodigestive,squamous cell carcinoma,4
NCIH1355,lung,"non-small cell lung cancer, adenocarcinoma",66
NCIH2023,lung,"non-small cell lung cancer, adenocarcinoma",66
PECAPJ34CLONEC12,upper_aerodigestive,"squamous cell carcinoma, basaloid",4
CALU6,lung,"non-small cell lung cancer, unspecified",66
SNU668,gastric,adenocarcinoma,66
CORL105,lung,"non-small cell lung cancer, adenocarcinoma",66
NCIH2405,lung,"non-small cell lung cancer, adenocarcinoma",66
NCIH2887,lung,"non-small cell lung cancer, unspecified",66
NCIH1755,lung,"non-small cell lung cancer, adenocarcinoma",66
SNU5,gastric,adenocarcinoma,66
NCIH647,lung,"non-small cell lung cancer, adenosquamous carcinoma",66
LU65,lung,"non-small cell lung cancer, large cell carcinoma",66
HEC265,uterus,endometrial adenocarcinoma,19
NCIH2073,lung,"non-small cell lung cancer, adenocarcinoma",66
EKVX,lung,"non-small cell lung cancer, adenocarcinoma",66
HCC515,lung,"non-small cell lung cancer, adenocarcinoma",66
OCUG1,bile_duct,adenocarcinoma,66
SNU638,gastric,adenocarcinoma,66
CCLFUPGI0005T,gastric,adenocarcinoma,66
COV318,ovary,"adenocarcinoma, high grade serous",68
FUOV1,ovary,"adenocarcinoma, high grade serous",68
OV17R,ovary,adenocarcinoma,68
TO14,ovary,cystadenocarcinoma,68
EMTOKA,uterus,carcinosarcoma,68
OCIC4P,ovary,adenocarcinoma,68
HS895T,fibroblast,skin,69
HS616T,fibroblast,lymphoma,69
HS706T,fibroblast,bone,69
TE125T,fibroblast,soft tissue,69
HS281T,fibroblast,breast,69
HS863T,fibroblast,bone,69
TO175T,fibroblast,lymphoma,69
HS229T,fibroblast,lung,69
HS274T,fibroblast,breast,69
HS940T,fibroblast,skin,69
HS578T,breast,basal B,69
HS888T,fibroblast,bone,69
HS751T,fibroblast,lymphoma,69
TE159T,fibroblast,soft tissue,69
HS839T,fibroblast,skin,69
HS343T,fibroblast,breast,69
HS737T,fibroblast,bone,69
HS934T,fibroblast,skin,69
HS255T,fibroblast,colorectal,69
HS675T,fibroblast,colorectal,69
HS819T,fibroblast,bone,69
HS822T,fibroblast,bone,69
HS742T,fibroblast,breast,69
HS600T,fibroblast,skin,69
HS834T,fibroblast,skin,69
HS840T,fibroblast,upper aerodigestive,69
HS688AT,fibroblast,skin,69
HS870T,fibroblast,bone,69
HS739T,fibroblast,breast,69
HS821T,fibroblast,bone,69
T173,fibroblast,bone,69
RS5,fibroblast,lung,69
HS618T,fibroblast,lung,69
HS606T,fibroblast,breast,69
DM3,fibroblast,lung,69
HLFA,fibroblast,lung,69
HS698T,fibroblast,colorectal,69
NHAHTDD,central_nervous_system,NA,69
TIG3TD,fibroblast,lung,69
C396,bone,osteosarcoma,69
SUM102PT,breast,carcinoma,70
SW954,cervix,squamous cell carcinoma,70