"","YBX2","DCN","SAMD4A","RNASET2","CELF2","DDX3Y","HEATR6","SIDT1","MOV10L1","MBNL3","MAP2","RBFOX1","TNRC6C","TNS1","DDX1","RIMS1","DDX43","AFP","TDRD3","APOB","DNMT3B","P2RX7","OAS1","DAZL","TDRD1","SORBS1","DSP","APOBEC3H","CHGA","EEF1A2","SAMHD1","CELF4","NXT2","TLR8","LUZP4","ZC3H12B","CORO1A","NDRG4","ESRP2","SCG3","ESRP1","NDRG1","NOVA2","ZFR2","MYH14","OGN","DNM1","ELAVL2","DDX58","CPEB3","HOXB6","DHX58","PTGES3L-AARSD1","ALDOC","PPARGC1A","DDX25","CRYAB","OAS3","OAS2","ENDOU","APOBEC1","RBM24","KHDRBS2","IQCG","IFIH1","FN1","SWT1","LEPR","WARS2","ALDH6A1","IFIT3","IFIT2","ENOX1","SMAD9","UTP20","BICC1","LRP1","C4BPA","PAIP2B","APOBEC2","ATXN1","PIWIL1","AGO3","NXF5","VIL1","ZFP36","APOBEC3F","RNASE1","RPS4Y1","CNN1","BST2","HELZ2","ASS1","DUSP9","SYNE1","MAP1B","KHDRBS3","LIN28A","LGALS3","DMGDH","RNF17","CTIF","ERN2","PIWIL4","HOOK1","FADS2","DZIP1","MSI1","OASL","TES","KHDC1","RNASEL","CPEB2","DDX60","SMAD6","SPTBN5","HERC5","SRRM4","RNF113B","NOVA1","CELF6","ADAD2","RPL3L","SLC16A3","MAEL","CGN","DQX1","AFF3","RBMS3","SLC25A48","CPLX2","PNLDC1","ZC3HAV1L","NXF3","CDKN2A","A1CF","GAS2","ZC3H12C","TAGLN","PDCD4","PIH1D2","ANK3","MAT1A","MMAA","PABPC3","RBM46","BOLL","ZFP36L2","DDX4","JAKMIP1","SRSF12","SORBS2","SAMSN1","PPARGC1B","AFF2","TDRD9","F11R","NPM2","EPB41","IGF2BP1","CELF3","GNE","AZGP1","CELF5","DCD","ZNF385A","ELAVL4","HENMT1","TDRD5","S100A9","TDRD10","EIF4E3","IFI16","RBM47","ZC3H12A","ADAD1","TLR3","TERT","ZCCHC24","RPL10L","NDRG2","RNASE7","FBN1","RBPMS2","RBFOX3","XIRP1","MTCL1","ROR2","PCSK9","NR0B1","GP2","RNASE2","RNASE3","RNASE6","RBMY1F","SMAD1","RBMXL2","PLA2G1B","NCBP2L","SNTB1","ISG20","CSDC2","ZMAT3","PURG","RNASE8","RNASE11","APOBEC4","TDRD12","PABPC5","RBMXL3","EIF4E1B","BASP1","RBM44","SRRM3","DDX10","ZC3H12D","ERN1","KCTD12","RPP25","HNRNPCL1","NSUN7","MKRN3","PLD6","APOBEC3B","NLRP11","TDRD6","CFAP65","DDX60L","IBA57","RNASE10","CADM1","MEX3B","PCBP3","PABPC1L2B","PIWIL3","RALYL","DDX53","RBM11","PDIA2","ADARB2","IFIT1","PABPC1L2A","MAPT","DAZ3","NANOS3","LIN28B","COL14A1","CPSF4L","ZCCHC13","DAZ1","ZC3H6","NANOS2","FBLL1","NANOS1","ADAT2","GSPT2","TDRD7","S100A4","ELAVL3","MYO18A","LAMA2","TLR7","ZNF239","PIWIL2","ADARB1","MYO5A","HMGN5","EIF1AY","EPS8L3","RBM20","IFIT1B","HSPA1A","POU5F1","RANBP17","PABPN1L","DAZ4","DAZ2","NYNRIN","RNASE13","TRIM71","ANG","CPEB1","ARHGEF28","TDRD15","PAPOLB","RBMY1J","POLR2J2","PATL2","RBMY1A1","APOBEC3G","L1TD1","PWP2","RBMY1E","RBMY1B","RBMY1D","ZCCHC3","RBM14-RBM4","EIF5AL1","UTP14C","PABPC4L","MEX3A","FDXACB1","DND1","KHDC1L","RNASE4","EPPK1","PCDHGA9","TEX13A","CALR3","FBXO17","NXF2","NXF2B","NBPF10","C2orf15","LENG9","RDM1","PCDH20","RPS4Y2"
"769P",2,1,1,1,2,1,1,1,1,2,2,NA,1,1,NA,2,NA,1,1,NA,1,2,1,NA,NA,2,1,1,1,2,1,1,2,NA,NA,2,1,1,1,1,2,2,1,NA,2,1,1,2,1,1,2,1,1,2,2,2,2,1,2,1,NA,1,NA,1,2,2,2,2,NA,2,1,1,2,2,NA,2,1,NA,1,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,1,2,NA,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,NA,NA,2,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,NA,NA,1,NA,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,NA,1,NA,1,NA,1,NA,2,1,2,2,NA,1,2,1,NA,2,NA,2,2,1,NA,1,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,2,1,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,NA,NA,NA,NA,2,1,NA,1,NA,1,NA,1,1,2,NA,NA,NA,2,NA,1,1,2,2,1,1,1,1,1,NA,1,1,1,1,2,1,2,2,NA,1,2,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,2,1,NA,2,2,2,NA,1,1,NA,NA,1,1,1,1,1,NA
"786O",1,1,1,2,2,2,1,1,1,2,2,NA,1,1,NA,2,NA,2,1,NA,1,2,1,NA,NA,1,2,1,1,2,1,2,1,NA,NA,1,1,1,2,1,2,2,1,NA,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,NA,1,NA,1,1,2,2,2,NA,2,1,2,2,2,NA,2,1,NA,1,NA,1,NA,1,NA,1,1,1,1,2,2,2,1,1,1,1,1,1,NA,1,2,NA,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,NA,NA,2,1,NA,1,1,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,NA,NA,1,NA,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,NA,1,NA,1,NA,1,NA,1,1,2,2,NA,1,2,1,NA,2,NA,2,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,1,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,NA,NA,NA,NA,2,1,NA,1,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,2,2,2,1,1,1,NA,2,1,1,1,2,2,1,2,NA,2,2,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,2,1,1,NA,1,1,1,1,NA,1,2,2,NA,2,1,NA,NA,1,2,2,1,1,NA
"8MGBA",2,2,1,1,1,1,1,2,2,1,1,NA,1,1,NA,1,NA,2,1,NA,1,1,2,NA,NA,1,1,2,1,1,2,1,2,NA,NA,1,2,1,1,2,1,2,2,NA,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,NA,1,NA,1,1,2,1,2,NA,2,2,2,2,1,NA,1,2,NA,2,NA,1,NA,2,NA,1,1,1,2,1,1,2,2,1,2,1,1,2,NA,1,2,NA,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,NA,NA,1,2,NA,1,1,NA,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,NA,NA,1,NA,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,NA,1,NA,1,NA,2,NA,2,1,2,2,NA,2,2,1,NA,1,NA,1,1,1,NA,2,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,2,1,2,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,NA,NA,NA,NA,1,2,NA,2,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,2,1,1,1,1,2,2,NA,1,2,1,2,2,1,2,1,NA,1,1,2,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,1,2,2,NA,1,1,2,2,NA,1,1,2,NA,2,1,NA,NA,1,1,1,1,1,NA
"A172",2,1,1,1,2,2,1,1,2,2,2,NA,1,1,NA,2,NA,2,1,NA,2,1,1,NA,NA,2,1,2,1,2,1,2,1,NA,NA,2,2,1,1,1,2,1,2,NA,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,NA,1,NA,1,1,1,1,1,NA,2,1,1,2,2,NA,1,2,NA,1,NA,1,NA,1,NA,1,1,1,1,2,2,1,1,2,1,1,1,2,NA,1,1,NA,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,1,NA,NA,2,1,NA,1,1,NA,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,NA,NA,1,NA,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,NA,1,NA,1,NA,1,NA,2,1,1,1,NA,1,1,2,NA,1,NA,1,2,2,NA,2,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,2,2,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,NA,NA,NA,NA,2,2,NA,1,NA,2,NA,2,1,1,NA,NA,NA,1,NA,1,1,2,1,2,1,1,2,2,NA,2,1,2,1,1,2,2,2,NA,2,1,2,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,2,1,NA,1,NA,2,NA,NA,NA,1,1,1,NA,1,2,1,1,NA,2,1,1,NA,2,1,NA,NA,1,2,2,1,1,NA
"A375",1,1,2,1,2,1,1,1,1,1,2,NA,1,2,NA,1,NA,1,1,NA,2,1,1,NA,NA,1,1,2,1,1,1,2,2,NA,NA,1,2,1,1,1,2,2,1,NA,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,NA,2,NA,1,1,1,1,1,NA,2,1,1,1,1,NA,1,1,NA,1,NA,1,NA,2,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,1,1,NA,2,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,NA,NA,1,1,NA,1,1,NA,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2,NA,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,NA,2,NA,2,NA,1,NA,2,1,1,1,NA,1,2,2,NA,1,NA,1,2,1,NA,2,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,1,1,NA,NA,NA,1,NA,NA,NA,2,1,1,NA,NA,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,NA,NA,NA,NA,2,1,NA,1,NA,1,NA,2,2,2,NA,NA,NA,2,NA,2,1,1,1,2,1,1,2,1,NA,2,1,1,1,1,1,2,1,NA,1,1,1,NA,NA,NA,2,NA,NA,1,2,1,NA,NA,NA,2,1,NA,1,NA,2,NA,NA,NA,1,2,1,NA,1,2,1,1,NA,2,1,1,NA,1,1,NA,NA,1,2,1,1,1,NA
"ACHN",1,1,1,1,2,1,1,1,1,1,1,NA,1,1,NA,2,NA,1,1,NA,1,1,1,NA,NA,1,1,2,1,2,1,2,2,NA,NA,2,1,1,2,1,2,1,1,NA,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,NA,1,NA,1,1,2,1,2,NA,1,1,2,2,1,NA,2,1,NA,1,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,2,1,1,2,NA,1,1,NA,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,NA,NA,1,1,NA,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,2,NA,2,NA,1,NA,2,1,2,1,NA,2,1,1,NA,2,NA,1,1,1,NA,1,2,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,1,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,2,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,2,1,1,NA,NA,NA,1,NA,1,1,2,1,1,1,1,1,1,NA,2,1,1,2,2,1,1,1,NA,2,2,1,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,2,1,NA,2,1,2,NA,1,1,NA,NA,1,1,2,1,2,NA
"CAL120",1,1,1,1,1,1,1,1,1,1,1,NA,1,2,NA,2,NA,1,1,NA,2,2,1,NA,NA,2,1,1,1,1,1,1,2,NA,NA,2,1,1,2,1,1,1,1,NA,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,1,NA,1,NA,1,2,1,2,2,NA,2,1,2,1,1,NA,1,1,NA,2,NA,1,NA,1,NA,1,1,2,1,1,2,2,1,2,2,1,1,2,NA,1,1,NA,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,NA,NA,1,1,NA,2,1,NA,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,NA,NA,2,NA,1,2,1,1,2,1,1,2,2,1,2,1,1,1,2,NA,1,NA,2,NA,1,NA,2,2,1,1,NA,1,1,1,NA,2,NA,1,1,1,NA,1,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,2,1,1,NA,NA,NA,2,NA,NA,NA,1,2,2,NA,NA,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,2,1,1,NA,NA,NA,1,NA,1,1,1,2,1,1,1,1,2,NA,1,1,2,2,1,1,1,2,NA,1,1,1,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,1,1,NA,2,NA,1,NA,NA,NA,1,2,1,NA,1,1,1,1,NA,2,1,1,NA,1,1,NA,NA,1,1,1,2,1,NA
"COGN278",1,2,2,1,1,1,2,1,2,1,1,NA,2,1,NA,2,NA,1,2,NA,1,1,1,NA,NA,1,2,1,2,2,1,1,2,NA,NA,1,2,1,1,2,2,1,2,NA,2,2,1,2,2,2,2,1,2,1,2,1,1,2,2,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,2,NA,1,1,NA,2,NA,1,NA,1,NA,1,1,1,1,1,2,1,1,1,2,1,1,1,NA,2,1,NA,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,NA,NA,1,2,NA,1,2,NA,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,NA,NA,2,NA,2,1,1,2,1,2,1,2,1,1,1,2,2,1,2,NA,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,NA,1,2,1,NA,2,1,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,2,2,2,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,NA,NA,NA,NA,2,2,NA,1,NA,2,NA,2,2,1,NA,NA,NA,2,NA,2,1,1,1,1,2,2,1,1,NA,1,1,1,2,2,1,1,1,NA,2,1,1,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,2,1,2,NA,2,2,1,1,NA,1,1,1,NA,2,1,NA,NA,1,1,2,1,2,NA
"COLO783",2,1,2,1,1,1,1,1,1,1,1,NA,1,1,NA,2,NA,1,2,NA,1,1,2,NA,NA,1,2,1,1,1,2,1,1,NA,NA,2,1,2,1,2,1,1,1,NA,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,NA,2,NA,1,1,2,1,1,NA,1,2,2,1,1,NA,1,2,NA,1,NA,1,NA,1,NA,1,1,1,2,1,1,2,2,2,1,1,1,1,NA,1,1,NA,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,NA,NA,2,2,NA,1,2,NA,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,NA,NA,1,NA,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,NA,1,NA,2,NA,1,NA,1,1,1,1,NA,2,1,2,NA,1,NA,1,2,1,NA,2,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,2,1,NA,NA,NA,1,NA,NA,NA,2,2,1,NA,NA,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,NA,NA,NA,NA,2,1,NA,2,NA,1,NA,1,1,1,NA,NA,NA,1,NA,2,1,1,1,2,1,1,1,1,NA,2,2,2,1,2,1,1,1,NA,2,1,1,NA,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,2,2,NA,1,NA,1,NA,NA,NA,2,2,1,NA,2,1,1,1,NA,1,1,2,NA,2,1,NA,NA,1,2,1,1,1,NA
"DAOY",2,1,1,1,1,1,1,1,1,1,2,NA,1,1,NA,1,NA,2,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,2,2,NA,NA,2,2,1,1,2,1,1,2,NA,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,1,NA,2,1,2,1,2,NA,1,1,2,2,1,NA,1,1,NA,2,NA,2,NA,2,NA,1,1,1,2,2,2,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,NA,NA,1,2,NA,1,1,NA,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,NA,NA,1,NA,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,NA,1,NA,1,NA,1,NA,1,1,1,2,NA,1,2,1,NA,1,NA,1,2,1,NA,2,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,1,2,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,2,2,2,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,2,NA,1,2,2,1,2,1,1,1,NA,1,2,2,NA,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,2,2,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,2,1,1,NA,1,1,1,NA,1,1,NA,NA,1,1,2,1,1,NA
"DBTRG05MG",1,1,1,1,1,1,1,1,2,1,1,NA,1,2,NA,1,NA,2,1,NA,2,2,1,NA,NA,1,2,2,1,2,1,1,2,NA,NA,2,1,1,1,1,2,1,2,NA,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,NA,1,NA,2,2,2,1,1,NA,1,1,2,1,2,NA,1,2,NA,1,NA,1,NA,1,NA,1,1,1,1,1,2,1,1,1,2,1,1,1,NA,1,1,NA,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,NA,NA,2,1,NA,1,1,NA,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,NA,NA,1,NA,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,NA,1,NA,1,NA,1,NA,1,1,2,1,NA,1,1,1,NA,1,NA,1,2,1,NA,1,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,2,2,NA,NA,NA,1,NA,NA,NA,2,1,1,NA,NA,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,2,1,1,NA,NA,NA,1,NA,1,1,2,1,1,1,1,2,2,NA,2,1,2,1,1,1,2,1,NA,2,1,2,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,NA,NA,1,1,2,2,2,NA
