sample,fastq_1,fastq_2,strandedness,condition
GI1-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_GI1-rep1_S165_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_GI1-rep1_S165_R2_001.fastq.gz,forward,GI1
GI1-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_GI1-rep2_S166_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_GI1-rep2_S166_R2_001.fastq.gz,forward,GI1
HCC38-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HCC38-rep1_S171_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HCC38-rep1_S171_R2_001.fastq.gz,forward,HCC38
HCC38-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HCC38-rep2_S172_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HCC38-rep2_S172_R2_001.fastq.gz,forward,HCC38
HEK-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HEK-rep1_S183_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HEK-rep1_S183_R2_001.fastq.gz,forward,HEK
HEK-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HEK-rep2_S184_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_HEK-rep2_S184_R2_001.fastq.gz,forward,HEK
JHH6-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JHH6-rep1_S169_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JHH6-rep1_S169_R2_001.fastq.gz,forward,JHH6
JHH6-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JHH6-rep2_S170_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JHH6-rep2_S170_R2_001.fastq.gz,forward,JHH6
JJN3-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JJN3-rep1_S175_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JJN3-rep1_S175_R2_001.fastq.gz,forward,JJN3
JJN3-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JJN3-rep2_S176_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_JJN3-rep2_S176_R2_001.fastq.gz,forward,JJN3
KELLY-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_KELLY-rep1_S163_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_KELLY-rep1_S163_R2_001.fastq.gz,forward,KELLY
KELLY-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_KELLY-rep2_S164_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_KELLY-rep2_S164_R2_001.fastq.gz,forward,KELLY
MCF7-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MCF7-rep1_S167_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MCF7-rep1_S167_R2_001.fastq.gz,forward,MCF7
MCF7-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MCF7-rep2_S168_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MCF7-rep2_S168_R2_001.fastq.gz,forward,MCF7
MONOMAC6-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MONOMAC6-rep1_S179_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MONOMAC6-rep1_S179_R2_001.fastq.gz,forward,MONOMAC6
MONOMAC6-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MONOMAC6-rep2_S180_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_MONOMAC6-rep2_S180_R2_001.fastq.gz,forward,MONOMAC6
NOMO1-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_NOMO1-rep1_S181_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_NOMO1-rep1_S181_R2_001.fastq.gz,forward,NOMO1
NOMO1-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_NOMO1-rep2_S182_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_NOMO1-rep2_S182_R2_001.fastq.gz,forward,NOMO1
T47D-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_T47D-rep1_S173_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_T47D-rep1_S173_R2_001.fastq.gz,forward,T47D
T47D-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_T47D-rep2_S174_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_T47D-rep2_S174_R2_001.fastq.gz,forward,T47D
TOU21G-rep1,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_TOU21G-rep1_S177_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_TOU21G-rep1_S177_R2_001.fastq.gz,forward,TOV21G
TOU21G-rep2,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_TOU21G-rep2_S178_R1_001.fastq.gz,/mnt/dawnccle2/sequencing/241106_Novaseq/RNAseq_TOU21G-rep2_S178_R2_001.fastq.gz,forward,TOV21G
